ALDH1A1	ALDH1A1	NA
ITGA7	CHRNA1	0.362686541
PPP1R9A	ACTG1	0.3757445122
SRGN	CD44	0.1702319587
GRB7	ERBB2	0.9999999422
PAK1	ERBB2	0.750312001
DLG4	ERBB2	1
PIK3R2	ERBB2	1
PTPN18	ERBB2	0.9999552553
ERBB2IP	ERBB2	0.3578216264
SMURF2	ARHGAP5	0.3548405516
NF2	ERBB2	0.9999278849
CD82	ERBB2	1
ERRFI1	ERBB2	0.8725121593
MMP7	CD44	0.0979164719
TOB1	ERBB2	0.0373079444
MUC4	ERBB2	0.9500663828
PICK1	ERBB2	0.670312255
SMURF2	TXNIP	0.3548405516
DDX20	ETV3	0.6801623909
TLE1	FOXG1	0.0248204432
TLE3	FOXG1	0.6780702214
HDAC1	FOXG1	0.0248204432
SMAD1	FOXG1	0.9999999968
KDM5B	FOXG1	0.6780702214
CD4	CD44	1
SMURF2	DAB2	0.9997317691
CBL	VAV1	1
PLCG1	VAV1	1
PRLR	VAV1	0.9999999422
TYK2	VAV1	1
SMURF2	DGCR2	0.8785365854
MAPK1	VAV1	1.23562546382799E-009
VAV1	RHOG	0.0135593961
HRAS	VAV1	1
BTK	VAV1	1
TGFBR1	CD44	0.8752676973
SYK	VAV1	1
SHB	VAV1	1
PRKCQ	VAV1	0.9999870467
TEC	VAV1	1
IL6ST	VAV1	1
HNRNPK	VAV1	0.9999893766
SLA	VAV1	0.9999552553
PTK2B	VAV1	1
EZH2	VAV1	0.0023060998
LCP2	VAV1	1
TGFBR2	CD44	0.8752676973
ZYX	VAV1	0.3153745482
SH3BP2	VAV1	0.9999999999
SIAH2	VAV1	0.0373079444
LAT	VAV1	1
ARHGDIB	VAV1	0.7431892632
SOCS1	VAV1	1
AOC3	VAV1	0.7765311653
NEK3	VAV1	0.9888434945
CBLB	VAV1	1
BLNK	VAV1	1
VAV2	CD44	0.9999991155
RACGAP1	VAV1	0.0063464961
PAG1	VAV1	1
DOCK2	VAV1	0.9897649452
SMURF2	FAM175B	0.8785365854
SMURF2	ACBD3	0.9852495309
YES1	YES1	NA
PECAM1	YES1	0.9999999946
CD36	YES1	0.9999551425
RPL10	YES1	0.8725121593
MST1R	YES1	0.9991527328
ERBB4	CD44	1
TYRO3	YES1	0.9972811912
ADAM12	YES1	0.9999513298
NPHS1	YES1	0.9999972886
OCLN	YES1	0.9860871337
DLG4	YES1	1
CD2AP	YES1	1
TRPV4	YES1	0.9999998409
SMURF2	SF3A2	0.9997825942
GP6	YES1	0.9999722246
TP53BP2	YES1	0.0029702785
TIAM1	CD44	0.9999926359
SP1	REL	0.9999998876
ELF1	REL	0.9996579248
SMURF2	ACOX3	0.8785365854
SMURF2	RNF111	0.9999736139
NKRF	REL	0.9895390434
TBP	REL	0.9999998876
SMURF2	TMEM139	0.8785365854
SMURF2	LAPTM5	0.7810123425
MAPK8	REL	0.9999998876
SMURF2	SNRNP70	1
DMP1	CD44	0.6029959478
PPP4C	REL	0.9999809247
NUP155	ZFYVE9	0.9852495309
SUMF2	ZFYVE9	0.7718236399
ETS2	ZFYVE9	0.1258816146
SMAD7	ZNF107	0.7718236399
SMAD7	ZBTB44	0.9982090601
SMAD7	TTF2	1
HSPA8	REL	0.2049148527
SMAD7	MYOD1	0.0842548143
GTF2B	REL	0.9999998876
ARHGEF1	CD44	0.7821730601
SMAD7	SOX5	0.9997825942
SMAD7	ASH1L	0.8785365854
SMAD7	ZBTB11	0.8785365854
REL	CALM1	0.9999998876
SMAD7	SOX13	0.8785365854
KIT	KIT	NA
LYN	KIT	1
PIK3R1	KIT	1
PLCG1	KIT	1
PTPN11	KIT	1
LGALS13	ACTG1	0.9533692651
NF2	CD44	0.9999278849
PTPN6	KIT	1
PRKCA	KIT	1
KITLG	KIT	0.9999937972
SRC	KIT	1
MATK	KIT	0.9999552553
KIT	STAT1	1
PTPRO	KIT	0.4682378421
TEC	KIT	1
GRB7	KIT	0.9999999422
GRB10	KIT	0.9999999382
FCGR3A	CD38	0.9994432147
CRKL	KIT	1
DOK1	KIT	1
PIK3R2	KIT	1
SOCS1	KIT	1
GRAP	KIT	0.9999972886
GRAP2	KIT	1
SH2B3	KIT	0.9998756379
CD81	KIT	0.9999621773
MPDZ	KIT	0.9999870264
SPRED1	KIT	0.6029959478
LCK	CD38	0.9994432301
STAP1	KIT	0.9975075731
SH2B2	KIT	1
SPRED2	KIT	0.6029959478
FGR	FGR	NA
CBL	FGR	0.9999999854
FGR	SRC	0.9999999854
WAS	FGR	0.9999999854
CD24	FGR	0.9888434801
SYK	FGR	0.9999999854
PTK2	FGR	0.9999999854
PECAM1	CD38	0.9994432247
DAB2	FGR	0.9323333405
CCR3	FGR	0.9999999854
FGR	HCLS1	0.9950018281
SLAMF1	FGR	0.9994432155
INPP5D	FGR	0.9999999854
EBNA1BP2	FGF3	0.7764345942
DLL4	NOTCH4	0.7718234473
MAML1	NOTCH4	0.354840463
FBXW7	NOTCH4	0.0749700224
INS	NOV	0.0878931002
CD4	CD38	0.9994432301
NOTCH1	NOV	0.0889301825
DLL1	NOV	0.8874635825
S100A4	NOV	0.4182283403
NFATC1	PIM1	0.9616161515
PTPRO	PIM1	0.3145005055
SND1	PIM1	0.9995039765
CBX3	PIM1	0.9995376847
CBX1	PIM1	0.9995389111
NHEJ1	NHEJ1	NA
FZD5	WNT5A	0.9121890674
C9	CD59	0.8723555841
ROR2	WNT5A	0.9521092032
FZD1	WNT5A	0.9887205198
PTPN6	ROS1	0.9975075731
ABL1	ROS1	0.9975075731
VAV3	ROS1	0.9974949416
GDI2	RAB8A	0.9617134121
OPTN	RAB8A	0.9939261742
MAP4K2	RAB8A	0.9920068515
RPH3AL	RAB8A	0.2926544179
C8A	CD59	0.997328567
SYTL4	RAB8A	0.5307735748
RIMS2	RAB8A	0.1990672793
RPH3A	RAB8A	0.360108733
FLT1	FLT1	NA
KDR	FLT1	1
VEGFA	FLT1	0.9999990751
PLCG2	FLT1	1
SHC1	FLT1	1
PGF	FLT1	0.9975075731
VEGFB	FLT1	0.9975075731
GNAI3	CD59	0.0211776802
ATR	FLT1	0.0650948802
ERG	ERG	NA
SPI1	ERG	0.9852777467
FLI1	ERG	0.8139473464
ETV1	ERG	0.9115865137
SETDB1	ERG	0.9852777467
SMAD7	TTF1	0.9998576922
SOS1	RRAS	0.9961366185
ARAF	RRAS	0.797700699
NCK1	RRAS	0.9961366185
CD9	CD59	0.9998205466
EPHB2	RRAS	0.9961366185
RALGDS	RRAS	0.9108095648
RASSF5	RRAS	0.6700005691
NAV2	RRAS	0.4664288607
RASIP1	RRAS	0.8668669778
COL4A5	OSM	0.9999888176
COL4A6	OSM	0.9999887735
IL6ST	OSM	0.3685450583
OSMR	OSM	0.595696145
CD2	CD59	0.9998205461
LYN	LYN	NA
CBL	LYN	1
LYN	PLCG1	1
PECAM1	LYN	0.9999999946
CD36	LYN	0.9999551425
PTPN6	LYN	1
TYK2	LYN	1
LYN	PRKCD	1
LYN	BTK	1
GRIA3	LYN	0.9689373308
DSTN	ACTG1	0.9819113169
SRC	CD59	0.9998205466
MATK	LYN	0.9999552553
CD24	LYN	0.9888434945
LYN	SYK	1
PDE4A	LYN	0.6029959478
LYN	PLCG2	1
PRKCQ	LYN	0.9999870467
SHC1	LYN	1
CASP3	LYN	9.46474245096539E-015
HNRNPK	LYN	0.9999893766
PTK2	LYN	1
SLC6A8	CD59	0.7763918142
PRKDC	LYN	0.0031033662
PTK2B	LYN	1
PIK3CG	LYN	0.9999999995
LYN	HCLS1	0.9950018426
LCP2	LYN	1
MAPK3	LYN	9.46474245096539E-015
LYN	MAP4K1	0.9999999991
KHDRBS1	LYN	1
LYN	RGS16	0.7289338996
UBXN11	ZFYVE9	0.4597637219
NCR1	CD59	0.9886660432
LYN	PPP1R8	0.0135593961
NPHS1	LYN	0.9999972886
DLG4	LYN	1
BCAR1	LYN	1
UNC119	LYN	4.57262203802363E-007
TRAT1	LYN	0.9999986149
SKAP1	LYN	0.9999722246
SKAP2	LYN	0.9972811912
